year,voivodeship,population_density,population,vehicles_count,roads_length
2018,dolnośląskie,145.4,2901.23,2274325,24333.4
2019,dolnośląskie,145.4,2900.16,2366425,24548.6
2020,dolnośląskie,145.8,2908.38,2448105,25322.3
2021,dolnośląskie,145.3,2897.74,2529725,25427.2
2022,dolnośląskie,144.8,2888.03,2592868,25562.7
2018,kujawsko-pomorskie,115.6,2077.78,1643145,27516.5
2019,kujawsko-pomorskie,115.3,2072.37,1703161,28022.9
2020,kujawsko-pomorskie,113.0,2031.55,1755029,27440.3
2021,kujawsko-pomorskie,112.3,2017.72,1807615,27298.0
2022,kujawsko-pomorskie,111.7,2006.88,1845504,27911.6
2018,lubelskie,84.3,2117.62,1773836,38115.4
2019,lubelskie,83.9,2108.27,1837025,37196.4
2020,lubelskie,81.9,2056.91,1898911,38483.2
2021,lubelskie,81.1,2038.3,1962183,38797.0
2022,lubelskie,80.6,2024.64,2009948,37695.0
2018,lubuskie,72.5,1014.55,844124,15579.6
2019,lubuskie,72.3,1011.59,880664,15646.9
2020,lubuskie,71.0,993.33,910624,16399.5
2021,lubuskie,70.5,985.49,941585,15804.4
2022,lubuskie,70.1,979.98,965035,15778.0
2018,mazowieckie,152.0,5403.41,4856282,55008.5
2019,mazowieckie,152.5,5423.17,5070440,54928.0
2020,mazowieckie,155.2,5517.62,5237089,55476.7
2021,mazowieckie,155.0,5512.79,5424468,55810.2
2022,mazowieckie,155.0,5510.61,5602722,55616.8
2018,małopolskie,224.0,3400.58,2565658,31444.0
2019,małopolskie,224.7,3410.9,2671787,31696.7
2020,małopolskie,226.1,3432.69,2761855,31400.2
2021,małopolskie,225.9,3430.37,2858282,31507.5
2022,małopolskie,225.8,3429.01,2931801,31870.0
2018,opolskie,104.8,986.51,813550,10504.8
2019,opolskie,104.4,982.63,841476,10364.5
2020,opolskie,101.6,955.84,865486,10406.3
2021,opolskie,100.8,948.58,888219,10568.1
2022,opolskie,100.1,942.44,906613,10487.7
2018,podkarpackie,119.3,2129.02,1613722,21122.9
2019,podkarpackie,119.2,2127.16,1668247,21340.3
2020,podkarpackie,117.5,2096.17,1722884,21630.6
2021,podkarpackie,116.9,2085.93,1776271,21735.9
2022,podkarpackie,116.5,2079.1,1816569,21770.2
2018,podlaskie,58.5,1181.53,897955,26673.5
2019,podlaskie,58.4,1178.35,932712,26818.0
2020,podlaskie,57.3,1156.59,961992,27155.6
2021,podlaskie,56.9,1148.72,994024,27390.7
2022,podlaskie,56.6,1143.36,1019975,27452.3
2018,pomorskie,127.4,2333.52,1782071,22720.0
2019,pomorskie,127.9,2343.93,1856411,22827.2
2020,pomorskie,128.7,2358.26,1920581,23251.2
2021,pomorskie,128.7,2358.73,1987301,22781.9
2022,pomorskie,128.6,2358.31,2040800,21442.4
2018,warmińsko-mazurskie,59.1,1428.98,1030456,22360.0
2019,warmińsko-mazurskie,58.9,1422.74,1071629,22175.7
2020,warmińsko-mazurskie,57.3,1385.62,1106529,22244.7
2021,warmińsko-mazurskie,56.9,1374.7,1142361,22097.6
2022,warmińsko-mazurskie,56.5,1366.43,1168123,22306.6
2018,wielkopolskie,117.1,3493.97,3115038,41042.1
2019,wielkopolskie,117.3,3498.73,3228239,41123.5
2020,wielkopolskie,117.6,3507.04,3327748,41707.5
2021,wielkopolskie,117.3,3500.03,3427343,42267.0
2022,wielkopolskie,117.1,3493.58,3511051,42127.3
2018,zachodniopomorskie,74.3,1701.03,1271026,19849.3
2019,zachodniopomorskie,74.1,1696.19,1318367,19406.8
2020,zachodniopomorskie,72.5,1661.07,1357117,20060.4
2021,zachodniopomorskie,72.0,1650.02,1396229,19604.2
2022,zachodniopomorskie,71.6,1640.62,1426826,19416.1
2018,łódzkie,135.4,2466.32,2049765,26045.8
2019,łódzkie,134.7,2454.78,2124765,26034.2
2020,łódzkie,132.6,2415.82,2186547,26297.5
2021,łódzkie,131.5,2394.95,2249270,26382.8
2022,łódzkie,130.5,2378.48,2293139,26085.3
2018,śląskie,367.6,4533.57,3259835,24756.4
2019,śląskie,366.3,4517.64,3369337,25142.3
2020,śląskie,357.7,4412.1,3452023,25491.7
2021,śląskie,354.8,4375.95,3533336,24875.9
2022,śląskie,352.4,4346.7,3600107,24797.1
2018,świętokrzyskie,106.0,1241.55,1010002,17491.7
2019,świętokrzyskie,105.4,1233.96,1048628,17642.8
2020,świętokrzyskie,102.4,1199.58,1078563,17499.6
2021,świętokrzyskie,101.4,1187.69,1112055,17467.2
2022,świętokrzyskie,100.6,1178.16,1135056,17261.2
